lagoslakeid,nh4,no2,sampleyear,secchi
4625,43.36363636363637,,2007,
4625,25.0,,2008,
4625,23.2,,2009,
4625,49.54545454545455,,2010,
4625,82.66666666666667,,2011,
4722,,,1973,6.2484
4722,,,1974,6.8122799999999994
4722,,,1975,4.1148
4722,,,1979,9.144
4722,,,1981,
4722,24.857142857142858,,1982,
4722,23.0,,1983,
4722,32.6875,,1984,
4722,30.25,,1985,
4722,40.09090909090909,,1986,
4722,55.63636363636363,,1987,
4722,89.72727272727273,,1988,
4722,41.27272727272727,,1989,
4722,23.818181818181817,,1990,
4722,46.8,,1991,
4722,43.63636363636363,,1992,
4722,25.545454545454547,,1993,
4722,50.9,,1994,
4722,21.0,,1995,
4722,44.1,,1996,
4722,35.2,,1997,
4722,34.27272727272727,,1998,
4722,16.0,,1999,
4722,33.8,,2000,
4722,33.5,,2001,
4722,36.18181818181818,,2002,
4722,44.18181818181818,,2003,
4722,38.888888888888886,,2004,
4722,35.63636363636363,,2005,
4722,36.0,,2006,
4722,18.666666666666668,,2007,7.25
4722,18.0,,2008,
4722,10.1,,2009,
4722,26.454545454545453,,2010,
4722,90.66666666666667,,2011,
5248,,,1973,3.81
5248,,,1974,3.11658
5248,,,1981,
5248,40.57142857142857,,1982,
5248,39.53846153846154,,1983,
5248,62.4,,1984,
5248,67.25,,1985,
5248,48.54545454545455,,1986,
5248,57.18181818181818,,1987,
5248,72.9,,1988,
5248,27.818181818181817,,1989,
5248,39.7,,1990,
5248,53.6,,1991,
5248,42.0,,1992,
5248,36.18181818181818,,1993,
5248,47.90909090909091,,1994,
5248,31.90909090909091,,1995,
5248,65.8,,1996,
5248,53.0,,1997,
5248,29.0,,1998,
5248,28.727272727272727,,1999,
5248,30.454545454545453,,2000,
5248,49.45454545454545,,2001,
5248,41.45454545454545,,2002,
5248,36.81818181818182,,2003,
5248,28.363636363636363,,2004,5.6388
5248,64.18181818181819,,2005,
5248,81.18181818181819,,2006,
5248,32.63636363636363,,2007,
5248,37.2,,2008,
5248,24.77777777777778,,2009,
5248,26.727272727272727,,2010,
5248,79.375,,2011,
4664,,,1979,3.3528
4664,,,1981,
4664,16.166666666666668,,1982,
4664,16.666666666666668,,1983,
4664,20.125,,1984,
4664,13.875,,1985,
4664,16.333333333333332,,1986,
4664,31.9,,1987,
4664,48.45454545454545,,1988,
4664,21.4,,1989,
4664,8.125,,1990,
4664,15.5,,1991,
